Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
11.68,66.62,191.25,40.5,15.05,11.89,11.57,52.61,80.41,73.88,55.03,0.0,250.83,26.25,0.0,104.57
13.26,61.5,276.06,140.12,14.89,10.56,11.14,53.36,86.15,82.19,44.09,0.0,250.33,108.24,0.0,40.28
14.84,56.25,305.75,167.19,14.3,10.62,10.71,57.27,80.39,75.63,0.0,0.0,208.33,0.0,0.0,13.33
15.96,50.25,282.5,107.5,13.67,8.83,11.41,61.14,86.0,56.8,0.0,0.0,159.71,0.0,0.0,0.97
16.43,48.62,192.81,29.31,12.83,8.92,10.73,74.87,82.3,63.13,0.0,0.0,150.97,0.0,0.0,0.18
15.94,49.62,53.31,1.81,12.55,8.46,11.87,79.44,83.8,54.92,0.0,0.0,147.29,0.0,0.0,0.76
15.22,51.88,55.81,26.62,11.83,8.54,10.04,80.7,81.17,65.95,0.0,0.0,84.92,0.0,0.0,0.05
14.69,54.25,43.38,106.5,10.78,6.99,9.48,84.83,89.05,64.2,0.0,0.0,24.88,0.0,0.0,0.0
14.12,58.12,0.0,0.0,10.44,7.73,11.32,81.44,82.26,45.92,0.0,0.0,0.0,0.0,0.0,0.0
13.53,61.88,0.0,0.0,9.04,6.81,8.36,84.75,87.54,52.61,0.0,12.49,0.0,0.0,38.75,0.0
12.93,74.25,0.0,0.0,8.7,8.19,8.69,83.65,84.26,50.02,0.0,77.22,0.0,0.0,170.02,0.0
12.32,81.0,0.0,0.0,8.36,8.83,7.3,84.4,84.58,54.95,0.0,148.66,0.0,0.0,68.18,0.0
11.79,81.0,0.0,0.0,8.22,10.95,5.46,83.08,77.44,62.0,0.0,240.7,0.0,0.0,100.35,0.0
10.97,83.5,0.0,0.0,7.32,11.24,5.15,87.02,81.59,59.8,0.0,252.2,0.0,0.0,40.58,0.0
10.29,82.5,0.0,0.0,7.5,11.3,3.1,83.63,72.69,65.58,0.0,217.92,0.0,0.0,13.95,0.0
9.22,83.5,0.0,0.0,7.02,11.65,3.74,86.27,55.84,59.19,12.69,162.6,0.0,39.34,0.98,0.0
8.51,85.0,0.0,0.0,8.13,11.26,1.74,84.63,60.94,67.82,76.89,157.04,0.0,169.29,0.18,0.0
8.28,85.0,0.0,0.0,9.01,11.75,0.3,83.54,55.4,76.4,150.58,146.05,0.0,69.06,0.76,0.0
7.95,85.0,0.0,0.0,10.64,10.69,2.06,79.22,63.17,65.41,235.63,89.24,0.0,98.23,0.06,0.0
7.61,85.0,0.0,0.0,11.3,10.16,1.24,81.3,61.35,65.52,253.13,26.22,0.0,40.73,0.0,0.0
7.31,85.0,0.0,0.0,11.6,10.72,-0.9,71.22,48.09,76.01,222.71,0.0,0.0,14.25,0.0,0.0
7.2,85.0,12.88,39.94,11.78,8.84,-0.83,55.36,50.93,74.77,164.05,0.0,12.69,0.99,0.0,17.06
8.08,85.0,76.56,168.56,11.52,8.44,1.34,59.84,50.95,67.41,160.08,0.0,85.54,0.19,0.0,133.05
9.16,82.5,152.5,69.94,11.69,7.23,1.95,55.64,55.23,70.51,145.43,0.0,155.51,0.75,0.0,226.54
10.38,81.0,230.56,96.12,11.01,5.83,2.68,61.77,60.44,67.34,91.4,0.0,199.68,0.06,0.0,48.47
11.34,81.0,254.06,40.88,10.5,5.13,2.76,59.92,59.9,76.67,26.89,0.0,205.62,0.0,0.0,8.5
11.85,69.75,227.5,14.56,10.42,3.67,2.01,49.17,63.1,88.34,0.0,0.0,182.51,0.0,0.0,3.81
11.88,54.88,165.5,1.0,9.08,3.47,3.42,50.09,60.41,79.65,0.0,0.0,175.53,0.0,0.0,1.12
11.74,58.75,163.12,0.19,8.32,1.97,1.47,51.42,66.79,91.18,0.0,0.0,158.5,0.0,0.0,6.79
11.64,55.88,144.81,0.75,7.2,0.89,2.93,55.36,73.45,83.03,0.0,0.0,171.72,0.0,0.0,18.35
11.29,60.38,93.56,0.06,6.01,1.42,2.37,59.66,68.7,84.17,0.0,0.0,87.26,0.0,0.0,1.47
10.79,58.5,27.56,0.0,5.12,0.78,1.58,59.95,67.82,87.1,0.0,0.0,23.02,0.0,0.0,0.0
10.16,50.25,0.0,0.0,3.95,-0.46,0.75,61.86,73.76,92.51,0.0,0.0,0.0,0.0,0.0,0.0
9.28,49.25,0.0,0.0,3.33,-0.53,1.84,61.01,73.26,87.05,0.0,12.97,0.0,0.0,17.44,0.0
8.21,51.88,0.0,0.0,2.08,0.82,1.91,66.27,70.14,88.93,0.0,82.55,0.0,0.0,128.4,0.0
7.17,55.5,0.0,0.0,1.18,1.85,0.18,71.98,71.0,100.0,0.0,154.44,0.0,0.0,224.99,0.0
6.17,58.88,0.0,0.0,1.09,2.73,2.36,70.35,67.11,90.3,0.0,200.37,0.0,0.0,48.64,0.0
5.11,60.0,0.0,0.0,0.55,2.92,0.96,68.97,75.84,100.0,0.0,207.96,0.0,0.0,8.59,0.0
4.2,60.62,0.0,0.0,-0.24,2.64,2.14,72.63,84.67,92.86,0.0,191.6,0.0,0.0,4.0,0.0
3.21,61.62,0.0,0.0,-0.39,3.0,2.54,72.51,82.2,90.64,13.11,170.54,0.0,17.62,1.09,0.0
2.17,65.75,0.0,0.0,0.56,2.14,1.16,71.51,87.21,99.83,81.05,166.85,0.0,126.07,7.14,0.0
1.43,70.5,0.0,0.0,1.8,2.89,0.73,71.25,83.26,100.0,153.91,171.23,0.0,224.22,18.3,0.0
0.82,72.0,0.0,0.0,2.75,2.51,2.39,66.99,83.34,99.14,200.71,88.16,0.0,48.73,1.48,0.0
0.35,70.12,0.0,0.0,2.99,1.88,4.2,75.42,85.3,90.05,209.14,23.54,0.0,8.64,0.0,0.0
-0.05,71.5,0.0,0.0,2.96,1.15,2.94,82.83,90.01,100.0,196.15,0.0,0.0,4.1,0.0,0.0
-0.26,71.75,13.25,17.81,2.79,1.5,3.18,83.47,89.27,100.0,168.05,0.0,5.95,1.08,0.0,0.0
0.33,72.88,79.56,123.75,2.47,1.56,3.9,85.23,91.27,100.0,171.02,0.0,35.18,7.32,0.0,0.0
1.76,71.5,153.38,223.44,2.87,0.76,6.59,83.38,100.0,80.28,170.99,0.0,84.05,18.28,0.0,0.0
2.77,66.88,201.06,48.81,2.58,1.81,6.62,82.92,94.15,80.95,88.61,0.0,132.32,1.49,0.0,0.0
3.06,75.0,210.31,8.69,2.03,1.14,6.67,84.4,99.22,87.45,23.8,0.0,154.33,0.0,0.0,0.0
3.23,81.0,200.69,4.19,1.35,1.77,7.83,88.75,95.43,86.21,0.0,0.0,156.15,0.0,0.0,0.0
2.61,84.75,165.56,1.06,1.33,2.1,8.8,90.39,93.7,84.06,0.0,0.0,145.05,0.0,0.0,0.0
2.76,83.25,175.19,7.5,1.38,1.3,10.06,92.45,98.85,67.76,0.0,0.0,109.03,0.0,0.0,0.0
2.85,83.5,170.75,18.25,1.05,1.36,9.18,98.51,100.0,63.41,0.0,0.0,80.61,0.0,0.0,0.0
2.64,82.5,89.06,1.5,1.54,2.68,10.56,96.08,97.13,64.29,0.0,0.0,45.63,0.0,0.0,0.0
2.16,83.5,24.06,0.0,1.23,3.73,8.78,98.61,93.27,68.82,0.0,0.0,12.45,0.0,0.0,0.0
1.52,87.5,0.0,0.0,1.59,3.32,9.73,96.71,99.38,54.48,0.0,0.0,0.0,0.0,0.0,0.0
1.18,91.5,0.0,0.0,1.88,3.58,7.94,95.22,98.77,58.05,0.0,6.13,0.0,0.0,0.0,0.0
1.23,93.62,0.0,0.0,1.37,4.24,7.08,98.37,99.0,70.19,0.0,36.09,0.0,0.0,0.0,0.0
1.3,96.5,0.0,0.0,1.68,6.0,8.47,99.95,83.95,71.06,0.0,80.81,0.0,0.0,0.0,0.0
1.3,98.0,0.0,0.0,2.83,6.58,6.62,96.13,81.16,85.64,0.0,131.97,0.0,0.0,0.0,0.0
1.3,98.0,0.0,0.0,3.5,7.23,7.7,94.89,84.23,78.39,0.0,161.01,0.0,0.0,0.0,0.0
1.43,98.0,0.0,0.0,3.51,8.28,5.23,98.07,83.6,87.88,0.0,161.52,0.0,0.0,0.0,0.0
1.69,96.75,0.0,0.0,3.79,9.06,4.74,97.38,82.53,81.97,6.22,147.9,0.0,0.0,0.0,0.0
1.43,97.88,0.0,0.0,4.41,9.8,2.96,97.81,69.07,84.16,36.55,107.07,0.0,0.0,0.0,0.0
1.95,97.75,0.0,0.0,5.71,9.4,2.17,85.79,62.45,82.64,79.18,81.9,0.0,0.0,0.0,0.0
2.96,95.12,0.0,0.0,6.57,9.93,0.9,81.27,67.46,85.66,131.8,43.76,0.0,0.0,0.0,0.0
3.3,96.5,0.0,0.0,7.51,8.84,0.78,82.61,68.54,82.54,164.35,12.51,0.0,0.0,0.0,0.0
3.67,96.75,0.0,0.0,8.51,9.04,0.71,82.3,57.49,79.41,164.2,0.0,0.0,0.0,0.0,0.0
3.96,96.0,6.31,0.0,9.2,7.98,-0.19,81.77,57.9,83.65,149.33,0.0,12.58,0.0,0.0,51.05
4.56,96.62,37.0,0.0,9.67,7.34,0.7,69.73,68.9,71.89,106.1,0.0,78.93,0.0,0.0,241.56
5.46,87.62,77.56,0.0,9.51,7.82,1.32,61.98,74.72,65.76,82.54,0.0,156.97,0.0,0.0,235.33
6.55,81.38,131.62,0.0,9.62,6.8,4.71,69.04,84.57,51.77,42.82,0.0,199.94,0.0,0.0,473.14
7.75,81.0,167.69,0.0,8.86,7.16,4.48,68.39,81.69,52.84,12.53,0.0,204.83,0.0,0.0,443.2
8.7,81.0,166.88,0.0,8.69,5.47,5.57,59.0,86.44,48.03,0.0,0.0,230.58,0.0,0.0,432.13
9.31,81.0,150.75,0.0,7.99,4.49,7.92,57.83,83.48,41.32,0.0,0.0,207.3,0.0,0.0,624.79
9.56,70.38,105.12,0.0,7.48,2.89,7.88,68.26,84.58,43.16,0.0,0.0,230.82,0.0,0.0,287.0
9.6,61.5,83.19,0.0,7.49,1.98,9.36,76.55,83.82,38.34,0.0,0.0,191.6,0.0,0.0,78.88
9.35,70.62,41.88,0.0,6.89,0.95,5.88,84.03,85.33,50.65,0.0,0.0,57.03,0.0,0.0,31.22
8.89,68.25,12.56,0.0,6.88,0.58,5.08,83.35,83.77,57.1,0.0,0.0,34.41,0.0,0.0,113.12
8.39,60.5,0.0,0.0,5.59,0.25,5.11,85.72,82.2,60.51,0.0,0.0,0.0,0.0,0.0,0.0
8.01,57.75,0.0,0.0,4.37,-0.3,2.57,84.24,84.33,76.96,0.0,12.48,0.0,0.0,50.65,0.0
7.59,67.62,0.0,0.0,2.86,0.58,3.41,84.79,72.51,75.09,0.0,78.27,0.0,0.0,239.56,0.0
7.21,78.38,0.0,0.0,1.88,1.64,3.89,84.41,64.32,71.87,0.0,160.73,0.0,0.0,240.97,0.0
6.97,83.5,0.0,0.0,0.98,4.18,0.92,85.16,53.88,87.87,0.0,192.91,0.0,0.0,456.51,0.0
6.65,85.0,0.0,0.0,0.48,4.99,1.31,84.38,51.05,84.0,0.0,212.89,0.0,0.0,460.63,0.0
5.69,85.0,0.0,0.0,0.02,6.23,1.82,83.6,45.96,77.4,0.0,242.63,0.0,0.0,454.72,0.0
4.26,85.0,0.0,0.0,-0.35,8.02,0.28,84.66,41.04,87.78,12.43,208.77,0.0,50.45,629.24,0.0
2.83,85.0,0.0,0.0,0.52,8.31,2.01,72.81,41.89,78.85,77.95,238.5,0.0,238.56,296.56,0.0
1.8,85.0,0.0,0.0,1.8,8.81,0.3,63.6,39.98,91.15,162.62,184.61,0.0,243.8,76.0,0.0
1.0,85.0,0.0,0.0,3.92,6.52,-0.29,54.94,48.51,94.69,189.39,59.92,0.0,448.2,32.8,0.0
0.39,85.0,0.0,0.0,5.24,5.48,1.04,50.15,55.55,90.14,216.91,35.45,0.0,469.35,116.56,0.0
-0.18,85.0,0.0,0.0,6.57,4.87,1.34,44.92,61.56,90.36,248.66,0.0,0.0,466.01,0.0,0.0
-0.4,85.0,12.38,50.25,8.07,3.22,1.86,40.89,73.67,83.87,209.51,0.0,10.73,631.47,0.0,80.81
0.47,73.12,77.62,237.56,8.53,3.32,2.73,41.25,75.6,78.87,242.35,0.0,62.34,301.34,0.0,388.27
1.94,62.88,164.5,246.62,8.54,3.24,3.9,40.8,75.56,69.16,181.12,0.0,117.73,74.56,0.0,378.91
3.69,56.0,185.88,439.88,6.84,1.49,8.95,47.45,84.56,43.65,61.36,0.0,227.53,33.59,0.0,395.08
5.46,49.25,220.94,478.06,5.68,1.37,8.96,54.77,83.63,41.95,35.98,0.0,265.69,118.28,0.0,228.56
6.85,43.88,254.69,477.31,4.75,1.47,11.44,62.09,79.45,35.98,0.0,0.0,287.9,0.0,0.0,273.3
8.11,40.75,210.25,633.69,3.55,0.68,14.28,72.03,85.45,30.9,0.0,0.0,218.25,0.0,0.0,732.11
8.72,40.62,246.19,306.12,3.27,1.45,13.41,75.86,82.23,32.66,0.0,0.0,181.51,0.0,0.0,485.63
8.3,41.62,177.62,73.12,2.91,0.61,16.05,77.4,89.2,26.8,0.0,0.0,197.48,0.0,0.0,367.24
7.12,46.38,62.81,34.38,1.78,0.3,15.45,82.91,91.03,27.58,0.0,0.0,135.9,0.0,0.0,126.56
5.85,54.0,36.5,120.0,1.4,0.95,11.57,83.44,90.76,34.54,0.0,0.0,43.12,0.0,0.0,44.93
4.65,62.62,0.0,0.0,1.29,1.11,10.05,80.47,91.87,37.7,0.0,0.0,0.0,0.0,0.0,0.0
3.83,70.38,0.0,0.0,0.87,1.39,10.62,84.29,86.88,39.13,0.0,10.4,0.0,0.0,78.28,0.0
3.23,76.12,0.0,0.0,1.18,2.64,7.73,83.93,79.38,51.72,0.0,61.95,0.0,0.0,385.86,0.0
2.63,79.25,0.0,0.0,0.77,4.57,8.8,88.22,66.14,46.33,0.0,123.96,0.0,0.0,398.95,0.0
2.02,81.25,0.0,0.0,0.59,8.33,6.83,89.21,45.76,51.0,0.0,218.3,0.0,0.0,379.04,0.0
1.43,83.25,0.0,0.0,0.9,9.44,6.65,91.07,40.6,50.17,0.0,275.5,0.0,0.0,237.0,0.0
1.14,81.5,0.0,0.0,1.0,11.36,3.75,92.63,36.18,60.43,0.0,286.33,0.0,0.0,271.81,0.0
1.04,83.12,0.0,0.0,1.16,13.62,3.63,88.38,32.51,58.3,10.23,208.85,0.0,77.02,700.55,0.0
0.94,85.62,0.0,0.0,2.6,13.9,2.09,79.63,31.58,63.67,61.75,188.41,0.0,384.65,504.1,0.0
0.9,87.25,0.0,0.0,4.9,15.38,0.05,64.63,28.21,74.42,127.08,188.9,0.0,408.98,351.28,0.0
0.84,87.38,0.0,0.0,8.03,14.76,-1.05,46.82,29.1,82.09,213.68,129.76,0.0,371.02,120.84,0.0
0.86,91.38,0.0,0.0,9.68,12.22,-1.42,39.92,33.08,83.62,280.41,45.31,0.0,241.22,47.22,0.0
0.9,93.38,0.0,0.0,11.32,10.7,-2.56,36.28,36.1,89.14,285.54,0.0,0.0,271.06,0.0,0.0
0.96,89.88,10.06,75.75,13.29,10.31,-3.2,33.32,40.07,91.01,204.14,0.0,11.15,684.78,0.0,67.06
2.56,79.88,61.56,383.44,14.15,8.31,-2.97,31.04,49.74,88.34,191.86,0.0,52.1,513.33,0.0,360.93
5.19,63.12,130.19,419.0,15.05,8.2,1.03,28.91,48.47,68.36,184.6,0.0,86.51,343.29,0.0,668.65
7.76,47.88,209.06,363.0,14.41,6.67,1.67,29.86,51.62,69.4,126.69,0.0,97.11,117.98,0.0,656.47
9.89,39.25,285.31,245.44,12.54,5.97,5.85,32.35,52.84,49.98,46.4,0.0,146.69,48.36,0.0,768.96
11.29,36.38,284.75,270.31,11.02,3.86,5.62,35.3,59.96,50.08,0.0,0.0,180.73,0.0,0.0,552.68
13.01,34.12,199.44,669.0,10.15,2.99,8.08,40.53,61.21,42.84,0.0,0.0,210.25,0.0,0.0,565.39
14.36,30.5,195.31,522.56,8.6,1.42,9.14,48.74,67.02,40.47,0.0,0.0,170.94,0.0,0.0,640.39
14.76,29.62,180.31,335.31,7.9,-0.16,7.83,49.55,75.58,45.77,0.0,0.0,107.31,0.0,0.0,611.07
14.11,30.62,123.62,115.12,6.58,-1.16,9.06,51.94,82.73,41.51,0.0,0.0,82.22,0.0,0.0,569.24
12.82,31.62,47.5,49.5,5.64,-1.71,7.91,54.17,85.43,46.28,0.0,0.0,49.58,0.0,0.0,299.24
11.3,34.5,0.0,0.0,3.91,-2.57,5.54,59.73,89.19,55.02,0.0,0.0,0.0,0.0,0.0,0.0
10.01,41.0,0.0,0.0,2.67,-3.03,2.67,62.67,89.88,69.99,0.0,11.29,0.0,0.0,67.93,0.0
8.85,47.75,0.0,0.0,1.09,-2.35,2.39,68.7,84.73,71.81,0.0,54.65,0.0,0.0,378.56,0.0
7.65,50.62,0.0,0.0,-0.27,0.74,1.72,76.17,69.87,72.88,0.0,84.76,0.0,0.0,655.08,0.0
6.51,52.25,0.0,0.0,-1.21,2.31,-0.41,83.06,66.51,82.19,0.0,101.96,0.0,0.0,689.26,0.0
5.35,55.5,0.0,0.0,-1.86,5.47,-0.77,86.34,51.43,78.69,0.0,142.88,0.0,0.0,748.95,0.0
3.96,59.5,0.0,0.0,-2.58,6.22,-0.76,89.22,48.1,73.31,0.0,189.21,0.0,0.0,578.62,0.0
2.4,64.12,0.0,0.0,-2.94,7.94,-2.14,89.32,43.29,82.74,11.37,208.09,0.0,68.37,559.6,0.0
0.8,70.38,0.0,0.0,-2.04,8.73,-3.16,82.92,41.74,87.53,55.92,166.19,0.0,387.38,622.6,0.0
-0.36,76.75,0.0,0.0,0.59,8.18,-4.29,70.62,44.7,92.53,83.88,110.09,0.0,648.29,626.94,0.0
-1.26,83.38,0.0,0.0,2.63,8.48,-5.11,65.06,43.38,95.45,104.38,79.08,0.0,705.66,547.49,0.0
-1.98,87.25,0.0,0.0,5.27,7.26,-3.5,52.15,48.64,80.81,140.97,47.48,0.0,738.94,286.56,0.0
-2.58,89.25,0.0,0.0,6.52,5.28,-6.14,47.11,56.07,97.77,193.45,0.0,0.0,591.59,0.0,0.0
-2.86,88.75,11.44,68.81,7.86,3.18,-5.12,43.52,67.62,86.54,207.02,0.0,12.94,556.7,0.0,49.75
-1.77,81.12,57.19,396.19,8.53,2.42,-4.04,42.37,71.66,76.95,163.81,0.0,69.51,613.71,0.0,276.39
0.46,71.38,83.0,641.5,8.35,1.48,-2.5,44.16,74.19,72.21,111.49,0.0,119.08,634.87,0.0,391.23
2.9,63.62,106.81,722.06,8.19,-0.17,1.54,44.31,80.84,51.57,77.51,0.0,199.48,536.62,0.0,460.4
5.11,52.88,139.06,728.94,6.94,-0.96,4.29,49.82,79.85,39.71,46.43,0.0,233.69,280.22,0.0,566.6
6.78,46.12,197.69,604.56,5.15,-1.42,6.19,56.59,77.16,34.96,0.0,0.0,208.27,0.0,0.0,697.89
7.8,43.75,205.94,553.81,3.43,-2.45,6.91,66.44,84.68,33.94,0.0,0.0,154.56,0.0,0.0,730.63
8.35,43.0,161.44,604.81,2.44,-3.31,7.08,71.58,88.45,33.67,0.0,0.0,134.8,0.0,0.0,655.98
8.5,43.62,112.88,642.81,1.35,-4.11,7.25,74.85,91.39,34.65,0.0,0.0,147.27,0.0,0.0,433.42
7.94,45.25,75.94,525.75,-0.05,-4.71,7.91,80.17,92.91,33.94,0.0,0.0,128.49,0.0,0.0,212.71
6.66,51.0,45.38,273.88,-1.06,-4.08,5.14,80.42,84.46,43.07,0.0,0.0,47.32,0.0,0.0,67.79
5.04,57.12,0.0,0.0,-1.76,-5.49,4.08,79.08,93.64,49.56,0.0,0.0,0.0,0.0,0.0,0.0
3.65,65.25,0.0,0.0,-2.61,-5.03,3.19,85.65,85.96,59.36,0.0,13.03,0.0,0.0,50.1,0.0
2.45,71.5,0.0,0.0,-3.38,-3.87,2.09,88.92,76.04,68.41,0.0,70.38,0.0,0.0,279.85,0.0
1.25,75.5,0.0,0.0,-4.03,-1.98,2.83,90.82,69.73,64.14,0.0,123.82,0.0,0.0,406.8,0.0
0.05,79.5,0.0,0.0,-4.52,1.18,1.42,91.65,52.98,68.36,0.0,194.58,0.0,0.0,449.1,0.0
-1.15,81.0,0.0,0.0,-4.37,3.66,0.76,86.29,41.66,69.83,0.0,224.06,0.0,0.0,543.27,0.0
-2.04,81.0,0.0,0.0,-5.17,5.65,2.88,91.57,36.42,59.26,0.0,200.82,0.0,0.0,672.95,0.0
-2.74,86.62,0.0,0.0,-4.98,6.87,2.51,85.67,34.03,61.85,13.08,154.15,0.0,50.27,728.72,0.0
-3.44,89.38,0.0,0.0,-3.78,7.51,0.45,75.58,32.71,76.1,70.82,139.15,0.0,281.58,677.15,0.0
-3.95,90.25,0.0,0.0,-1.72,7.78,1.9,68.49,33.45,70.24,126.19,153.19,0.0,414.59,450.87,0.0
-4.35,90.38,0.0,0.0,0.99,7.73,1.43,53.68,34.41,73.88,192.14,126.81,0.0,443.46,209.91,0.0
-4.62,88.12,0.0,0.0,3.35,5.61,0.03,42.64,41.72,84.73,219.25,49.0,0.0,531.61,70.2,0.0
-4.89,89.5,0.0,0.0,5.38,4.21,1.32,37.15,49.09,83.03,197.1,0.0,0.0,660.47,0.0,0.0
-4.94,85.38,13.12,50.44,6.86,3.33,0.94,34.08,58.8,88.57,153.95,0.0,15.58,727.77,0.0,11.16
-3.71,75.12,71.25,283.31,7.72,2.59,3.03,32.23,66.14,76.61,141.33,0.0,75.62,687.73,0.0,48.15
-1.5,67.25,128.56,422.38,8.04,2.74,3.09,32.85,64.57,73.5,156.16,0.0,70.04,459.59,0.0,3.81
0.84,54.38,189.69,437.81,7.63,1.85,1.95,34.64,66.37,76.6,125.96,0.0,85.69,208.52,0.0,16.59
3.08,43.62,214.44,519.94,5.84,1.33,3.85,41.05,67.22,66.88,49.85,0.0,257.44,71.41,0.0,71.86
5.15,37.88,193.38,648.0,4.28,2.2,5.11,48.86,62.44,60.08,0.0,0.0,249.84,0.0,0.0,18.95
6.84,34.12,153.75,726.81,3.39,1.89,7.23,58.53,64.86,53.46,0.0,0.0,272.69,0.0,0.0,54.91
