Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
5.14,49.38,60.44,881.94,2.48,0.48,2.2,74.89,72.07,64.67,0.0,0.0,218.77,0.0,0.0,243.36
5.59,47.75,52.06,883.25,2.24,0.18,3.36,75.59,71.77,60.44,0.0,0.0,183.91,0.0,0.0,386.54
5.7,51.38,48.25,817.38,1.69,-0.1,5.76,77.24,73.15,52.27,0.0,0.0,128.09,0.0,0.0,785.67
5.33,55.88,41.12,673.5,1.13,-0.94,4.88,76.14,81.96,56.37,0.0,0.0,52.35,0.0,0.0,697.19
4.47,62.0,19.62,332.69,0.77,-0.84,4.0,74.1,82.68,56.88,0.0,0.0,22.89,0.0,0.0,364.25
3.41,69.38,0.0,0.0,0.29,-0.73,5.03,73.99,80.99,50.77,0.0,0.0,0.0,0.0,0.0,0.0
2.75,73.25,0.0,0.0,0.25,0.13,3.54,73.34,76.6,57.73,0.0,0.0,0.0,0.0,0.0,0.0
2.29,75.25,0.0,0.0,0.05,0.49,2.2,72.45,74.07,63.24,0.0,24.1,0.0,0.0,0.0,0.0
1.79,76.62,0.0,0.0,-0.17,0.39,3.62,73.52,71.25,56.38,0.0,61.07,0.0,0.0,0.0,0.0
1.29,75.12,0.0,0.0,-0.6,1.17,1.76,80.04,67.49,62.34,0.0,90.61,0.0,0.0,0.0,0.0
0.79,74.0,0.0,0.0,-0.55,1.7,0.14,81.03,66.8,67.01,0.0,78.33,0.0,0.0,0.0,0.0
0.29,74.0,0.0,0.0,-0.5,1.08,2.0,79.69,69.77,58.15,0.0,129.44,0.0,0.0,45.74,0.0
0.04,74.62,0.0,0.0,-0.1,2.39,0.87,77.93,63.78,64.21,0.0,221.98,0.0,0.0,246.93,0.0
-0.06,73.12,0.0,0.0,0.23,3.51,-1.17,75.47,59.78,74.37,23.68,186.02,0.0,0.0,390.96,0.0
-0.23,73.88,0.0,0.0,0.46,5.14,-1.55,70.94,54.83,75.76,61.34,122.86,0.0,0.0,753.55,0.0
-0.3,78.12,0.0,0.0,1.11,4.96,-2.57,67.75,56.06,78.68,90.27,52.65,0.0,0.0,701.1,0.0
-0.3,79.38,0.0,0.0,1.52,4.41,-2.1,67.71,55.32,73.68,77.32,23.6,0.0,0.0,375.53,0.0
-0.3,78.38,0.0,0.0,1.35,4.58,-2.22,68.44,52.51,73.74,132.09,0.0,0.0,46.68,0.0,0.0
-0.3,79.25,0.0,0.0,2.49,3.56,-2.68,63.33,57.61,75.82,223.58,0.0,0.0,248.71,0.0,0.0
0.01,76.88,23.25,0.0,3.59,2.63,-3.9,59.45,61.43,82.4,187.07,0.0,26.05,393.17,0.0,62.18
0.51,70.62,61.62,0.0,4.83,3.0,-0.69,56.1,59.13,63.59,120.24,0.0,88.0,737.5,0.0,416.75
1.07,68.0,89.94,0.0,5.0,1.83,0.02,55.9,62.04,62.32,52.79,0.0,114.2,703.05,0.0,634.44
1.36,68.62,76.31,0.0,4.62,0.75,0.86,54.53,64.31,57.52,23.96,0.0,132.84,381.17,0.0,684.34
1.59,67.12,134.75,47.62,4.35,1.37,1.15,53.38,61.01,55.72,0.0,0.0,189.54,0.0,0.0,425.82
2.58,62.88,225.19,250.5,3.58,0.47,3.4,57.56,66.17,45.96,0.0,0.0,246.99,0.0,0.0,309.66
3.66,59.12,188.12,395.38,2.84,-0.93,3.43,60.53,73.13,43.74,0.0,0.0,230.61,0.0,0.0,169.84
4.56,57.38,117.62,721.44,2.69,-1.52,2.88,60.51,75.63,42.94,0.0,0.0,167.25,0.0,0.0,94.07
5.03,55.75,52.94,705.0,1.86,-2.3,2.55,61.9,77.21,43.32,0.0,0.0,97.71,0.0,0.0,121.59
4.79,53.75,24.31,386.81,1.06,-2.28,1.48,62.97,74.65,46.76,0.0,0.0,23.24,0.0,0.0,9.52
4.16,54.25,0.0,0.0,1.06,-2.49,0.41,62.45,75.18,49.91,0.0,0.0,0.0,0.0,0.0,0.0
3.59,57.5,0.0,0.0,0.27,-2.84,0.13,67.14,76.72,49.39,0.0,0.0,0.0,0.0,0.0,0.0
3.02,59.62,0.0,0.0,-0.8,-3.39,-0.67,72.5,79.57,50.07,0.0,27.09,0.0,0.0,64.65,0.0
2.42,61.88,0.0,0.0,-1.51,-1.36,-1.62,75.57,66.98,52.06,0.0,84.12,0.0,0.0,398.41,0.0
1.89,61.75,0.0,0.0,-2.17,-0.28,-2.85,76.48,63.72,58.55,0.0,111.85,0.0,0.0,621.37,0.0
1.32,61.62,0.0,0.0,-2.37,0.84,-4.84,75.14,57.63,71.08,0.0,132.57,0.0,0.0,682.98,0.0
0.79,63.88,0.0,0.0,-2.62,1.45,-4.65,75.9,54.55,71.42,0.0,193.9,0.0,0.0,435.6,0.0
0.1,68.12,0.0,0.0,-2.92,2.77,-6.52,77.17,48.23,79.98,0.0,236.81,0.0,0.0,296.89,0.0
-0.7,71.88,0.0,0.0,-3.13,2.85,-5.43,78.16,45.75,72.78,27.6,221.68,0.0,65.88,163.27,0.0
-1.5,75.5,0.0,0.0,-1.7,2.45,-7.62,68.68,44.34,81.75,82.19,162.41,0.0,389.23,91.35,0.0
-2.05,75.75,0.0,0.0,-0.43,2.01,-9.35,64.42,45.1,86.04,110.68,94.26,0.0,614.84,117.3,0.0
-2.45,75.62,0.0,0.0,0.82,1.13,-9.45,57.69,48.01,85.82,132.44,22.68,0.0,682.3,9.29,0.0
-2.73,76.62,0.0,0.0,1.61,0.23,-9.14,53.97,50.58,82.43,196.07,0.0,0.0,440.49,0.0,0.0
-2.99,77.62,0.0,0.0,2.46,-0.3,-9.84,49.37,51.0,81.45,231.71,0.0,0.0,290.5,0.0,0.0
-2.91,76.75,28.12,67.12,2.55,-1.13,-8.8,46.75,51.85,74.17,217.21,0.0,34.83,159.98,0.0,73.51
-1.99,70.38,80.25,380.06,2.23,-2.02,-8.0,45.05,53.65,69.36,159.98,0.0,114.99,89.98,0.0,314.58
-0.56,65.12,109.5,608.31,1.75,-3.06,-7.73,45.99,59.47,67.06,92.54,0.0,176.43,115.15,0.0,111.06
0.81,57.75,132.31,681.62,0.95,-4.46,-7.08,48.63,69.23,63.12,22.4,0.0,242.41,9.17,0.0,96.45
1.74,53.38,198.25,445.38,0.14,-4.81,-9.16,50.92,72.27,73.25,0.0,0.0,238.08,0.0,0.0,139.57
2.19,50.5,226.62,284.12,-0.52,-6.18,-8.28,51.81,78.11,69.77,0.0,0.0,248.28,0.0,0.0,170.44
2.3,47.75,212.75,156.69,-1.36,-6.12,-6.93,52.73,76.77,65.84,0.0,0.0,202.47,0.0,0.0,204.53
2.05,45.75,157.56,88.62,-2.23,-7.67,-7.11,54.45,82.07,65.48,0.0,0.0,79.61,0.0,0.0,16.35
1.52,46.88,90.81,113.0,-3.17,-8.9,-8.4,59.92,83.39,71.11,0.0,0.0,25.03,0.0,0.0,0.0
0.8,49.25,22.12,9.06,-4.26,-9.22,-9.77,68.31,84.47,82.5,0.0,0.0,5.0,0.0,0.0,0.0
0.06,51.25,0.0,0.0,-4.89,-9.3,-10.07,72.7,83.41,87.79,0.0,0.0,0.0,0.0,0.0,0.0
-0.7,52.62,0.0,0.0,-6.01,-9.85,-8.43,77.18,81.47,77.92,0.0,0.0,0.0,0.0,0.0,0.0
-1.56,53.62,0.0,0.0,-6.46,-9.36,-9.86,78.76,77.39,86.9,0.0,33.54,0.0,0.0,70.78,0.0
-2.4,55.25,0.0,0.0,-7.7,-8.61,-9.0,82.22,72.68,82.96,0.0,110.37,0.0,0.0,301.94,0.0
-3.26,60.38,0.0,0.0,-8.67,-8.19,-9.22,82.07,69.41,80.74,0.0,171.03,0.0,0.0,107.65,0.0
-4.1,67.38,0.0,0.0,-9.11,-7.69,-9.1,83.8,66.12,79.4,0.0,232.74,0.0,0.0,92.6,0.0
-4.96,73.12,0.0,0.0,-9.38,-8.48,-9.27,83.89,70.0,80.07,0.0,250.91,0.0,0.0,147.09,0.0
-5.86,76.25,0.0,0.0,-9.85,-7.88,-9.34,81.49,67.88,81.35,0.0,255.8,0.0,0.0,175.59,0.0
-6.76,80.75,0.0,0.0,-9.64,-7.14,-10.19,79.01,66.86,87.5,32.9,199.51,0.0,69.42,201.54,0.0
-7.72,82.38,0.0,0.0,-8.92,-7.4,-9.63,74.34,66.93,84.94,108.06,78.0,0.0,295.63,16.02,0.0
-8.47,80.75,0.0,0.0,-8.41,-8.34,-8.24,70.58,70.81,78.29,168.32,25.14,0.0,105.95,0.0,0.0
-9.01,83.12,0.0,0.0,-7.99,-9.27,-8.96,67.62,79.75,85.39,227.9,5.19,0.0,90.67,0.0,0.0
-9.45,84.38,0.0,0.0,-8.14,-9.68,-8.07,68.37,85.46,79.45,257.33,0.0,0.0,150.86,0.0,0.0
-9.85,81.5,0.0,0.0,-7.68,-9.02,-7.35,66.94,81.46,74.81,259.55,0.0,0.0,178.17,0.0,0.0
-9.88,80.62,32.25,68.06,-7.25,-9.76,-8.25,67.37,86.26,78.49,198.04,0.0,22.14,200.05,0.0,118.91
-9.18,76.0,105.75,289.31,-7.55,-9.4,-6.44,67.66,85.42,70.57,77.19,0.0,42.89,15.86,0.0,621.63
-8.61,71.75,165.62,104.25,-8.31,-9.59,-3.16,70.65,83.0,59.08,25.2,0.0,51.53,0.0,0.0,848.03
-8.25,69.12,223.06,88.75,-9.02,-9.6,-0.97,78.37,82.45,52.95,5.28,0.0,54.85,0.0,0.0,915.69
-7.85,66.75,263.75,154.62,-9.48,-9.73,0.8,84.29,82.91,43.7,0.0,0.0,57.4,0.0,0.0,937.41
-7.51,66.0,263.31,180.75,-9.31,-9.69,1.13,83.23,83.49,39.61,0.0,0.0,51.5,0.0,0.0,883.8
-7.34,67.88,196.56,198.56,-9.7,-9.91,2.26,85.94,85.81,37.27,0.0,0.0,49.8,0.0,0.0,881.53
-7.68,68.38,76.38,15.69,-9.59,-9.46,3.59,86.65,83.97,34.58,0.0,0.0,50.16,0.0,0.0,876.16
-8.28,70.5,25.25,0.0,-9.77,-8.64,2.96,84.12,80.64,35.99,0.0,0.0,42.41,0.0,0.0,703.79
-8.81,77.0,5.38,0.0,-9.85,-8.87,0.47,83.97,84.82,41.72,0.0,0.0,22.96,0.0,0.0,367.54
-9.31,83.12,0.0,0.0,-9.96,-8.33,0.84,84.33,80.97,48.35,0.0,0.0,0.0,0.0,0.0,0.0
-9.56,85.0,0.0,0.0,-9.86,-7.88,-1.6,84.55,77.9,63.63,0.0,0.0,0.0,0.0,0.0,0.0
-9.66,85.62,0.0,0.0,-9.77,-8.08,0.25,84.96,77.55,54.95,0.0,22.41,0.0,0.0,120.39,0.0
-9.76,87.88,0.0,0.0,-9.38,-6.22,-0.41,83.49,69.47,57.18,0.0,43.6,0.0,0.0,631.91,0.0
-9.93,85.25,0.0,0.0,-8.84,-3.33,-1.03,81.82,59.85,56.11,0.0,50.89,0.0,0.0,837.52,0.0
-10.06,85.5,0.0,0.0,-8.82,-1.13,-2.27,84.54,53.6,57.65,0.0,54.2,0.0,0.0,904.94,0.0
-10.16,85.75,0.0,0.0,-8.46,0.68,-2.73,81.74,44.1,57.93,0.0,56.89,0.0,0.0,929.11,0.0
-10.01,85.62,0.0,0.0,-8.15,1.52,-2.53,79.45,38.55,55.77,0.0,53.03,0.0,0.0,910.09,0.0
-9.65,84.12,0.0,0.0,-7.99,2.51,-4.88,77.09,36.64,65.74,22.55,50.71,0.0,121.14,897.67,0.0
-9.31,83.0,0.0,0.0,-6.11,3.32,-6.49,68.93,35.29,72.26,43.96,49.2,0.0,637.05,859.49,0.0
-9.01,83.0,0.0,0.0,-3.42,2.84,-5.44,60.23,36.3,67.5,50.57,42.05,0.0,832.26,697.83,0.0
-8.78,84.25,0.0,0.0,-1.22,1.1,-7.79,53.92,39.98,82.04,53.88,24.11,0.0,899.57,385.87,0.0
-8.57,82.5,0.0,0.0,0.61,0.58,-7.39,44.3,49.3,80.3,56.63,0.0,0.0,924.96,0.0,0.0
-8.38,81.0,0.0,0.0,1.72,-1.03,-6.76,38.03,61.25,75.66,53.79,0.0,0.0,923.23,0.0,0.0
-7.92,76.62,22.69,121.88,2.63,-0.4,-9.1,36.32,57.78,91.44,51.16,0.0,24.31,905.74,0.0,87.75
-6.01,68.38,44.31,642.19,3.18,-0.98,-8.2,35.64,59.71,89.78,48.73,0.0,54.66,851.15,0.0,463.14
-3.5,60.62,50.25,827.0,2.78,-1.54,-5.7,36.46,58.31,77.54,41.87,0.0,70.23,694.86,0.0,687.62
-1.29,54.25,53.56,894.19,1.42,-2.43,-5.13,39.12,58.32,79.15,24.68,0.0,70.74,395.03,0.0,728.66
0.56,44.5,56.38,920.81,0.44,-2.93,-3.82,49.77,58.77,76.76,0.0,0.0,76.8,0.0,0.0,754.33
1.89,37.5,54.56,936.38,-0.75,-3.22,-0.93,60.07,58.82,63.9,0.0,0.0,82.92,0.0,0.0,901.93
2.74,36.0,51.62,913.81,-0.73,-4.85,-0.31,59.2,65.62,61.82,0.0,0.0,69.73,0.0,0.0,918.49
3.06,36.0,48.25,842.81,-1.27,-6.15,-2.74,60.98,70.57,75.32,0.0,0.0,52.91,0.0,0.0,697.07
2.73,36.62,41.69,691.88,-1.79,-6.03,-0.95,59.4,70.62,68.73,0.0,0.0,59.51,0.0,0.0,611.64
1.69,38.25,25.25,404.19,-2.51,-7.47,-2.69,58.66,80.27,80.19,0.0,0.0,31.2,0.0,0.0,304.63
0.33,50.25,0.0,0.0,-3.02,-7.52,-5.34,59.2,81.09,95.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.51,58.88,0.0,0.0,-3.56,-7.43,-3.49,60.35,79.64,80.05,0.0,0.0,0.0,0.0,0.0,0.0
-1.01,60.62,0.0,0.0,-4.84,-8.53,-4.03,65.56,88.03,81.01,0.0,25.37,0.0,0.0,91.59,0.0
-1.51,62.25,0.0,0.0,-5.98,-7.53,-4.68,69.72,85.83,80.4,0.0,57.58,0.0,0.0,487.88,0.0
-2.01,60.5,0.0,0.0,-6.33,-5.52,-4.01,72.19,76.58,74.56,0.0,71.15,0.0,0.0,696.56,0.0
-2.58,59.0,0.0,0.0,-7.32,-4.54,-5.23,79.38,76.07,81.41,0.0,74.0,0.0,0.0,762.18,0.0
-3.11,59.62,0.0,0.0,-7.59,-3.33,-5.8,81.49,74.25,84.89,0.0,79.68,0.0,0.0,782.63,0.0
-3.86,61.88,0.0,0.0,-7.76,-1.51,-4.84,81.63,66.82,78.89,0.0,79.71,0.0,0.0,867.03,0.0
-4.83,65.5,0.0,0.0,-8.25,-0.99,-6.16,86.33,65.1,85.44,25.91,66.67,0.0,93.52,878.27,0.0
-5.83,68.88,0.0,0.0,-7.19,-2.13,-3.73,83.86,72.29,70.6,59.04,55.46,0.0,500.25,730.57,0.0
-6.58,73.75,0.0,0.0,-5.44,-1.49,-5.03,76.1,71.55,78.55,71.6,57.41,0.0,701.03,590.04,0.0
-7.18,78.5,0.0,0.0,-4.24,-2.8,-4.26,74.54,80.79,77.81,75.62,30.97,0.0,778.93,302.44,0.0
-7.65,81.88,0.0,0.0,-3.09,-4.64,-4.18,73.0,90.81,83.79,81.12,0.0,0.0,796.79,0.0,0.0
-8.05,83.62,0.0,0.0,-1.81,-4.03,-4.8,68.29,83.4,88.59,78.1,0.0,0.0,849.57,0.0,0.0
-8.01,84.62,26.44,95.44,-1.32,-4.39,-4.56,66.74,83.2,84.76,65.15,0.0,10.07,858.17,0.0,0.0
-6.9,81.88,60.5,512.62,-1.82,-4.8,-2.51,70.77,81.14,74.76,56.73,0.0,35.55,747.31,0.0,0.0
-5.36,75.62,72.06,705.5,-1.75,-4.58,-2.52,72.97,77.9,71.87,56.36,0.0,34.37,579.24,0.0,0.0
-3.99,73.0,77.25,795.69,-2.85,-5.28,-4.05,81.08,81.71,86.55,30.86,0.0,51.23,301.34,0.0,0.0
-2.88,71.75,82.56,810.94,-4.29,-5.66,-1.65,88.66,84.07,76.94,0.0,0.0,100.08,0.0,0.0,0.0
-2.06,69.75,76.5,832.12,-4.3,-5.17,-2.87,85.07,80.82,86.22,0.0,0.0,121.39,0.0,0.0,63.81
-1.61,68.38,63.62,838.06,-4.57,-5.64,-0.3,84.29,82.47,78.6,0.0,0.0,197.9,0.0,0.0,343.6
-1.56,69.25,58.0,764.06,-4.87,-4.29,1.39,81.51,73.68,63.56,0.0,0.0,161.21,0.0,0.0,310.39
-1.98,74.38,55.31,568.44,-4.87,-4.8,2.43,79.58,77.28,49.53,0.0,0.0,119.09,0.0,0.0,176.34
-2.89,81.38,30.75,300.25,-5.31,-4.32,0.19,81.85,78.15,54.93,0.0,0.0,34.09,0.0,0.0,137.84
-3.99,86.5,0.0,0.0,-5.59,-4.17,0.68,83.66,83.77,50.05,0.0,0.0,0.0,0.0,0.0,0.0
-4.53,86.75,0.0,0.0,-5.33,-4.38,0.96,81.78,86.05,45.69,0.0,0.0,0.0,0.0,0.0,0.0
-4.72,85.38,0.0,0.0,-5.37,-4.16,1.07,80.98,82.44,42.19,0.0,10.38,0.0,0.0,0.0,0.0
-4.92,81.88,0.0,0.0,-4.57,-2.93,-0.91,75.21,77.19,49.01,0.0,34.52,0.0,0.0,0.0,0.0
-5.12,81.25,0.0,0.0,-4.68,-2.76,-0.84,76.64,73.12,47.36,0.0,33.81,0.0,0.0,0.0,0.0
-5.33,82.0,0.0,0.0,-4.35,-3.45,-2.64,78.33,83.15,53.55,0.0,53.61,0.0,0.0,0.0,0.0
-5.53,83.25,0.0,0.0,-4.17,-2.07,-1.74,83.76,79.41,49.56,0.0,97.23,0.0,0.0,0.0,0.0
-5.47,82.75,0.0,0.0,-4.16,-2.33,-2.35,84.77,83.11,56.26,0.0,126.5,0.0,0.0,66.5,0.0
-5.15,79.5,0.0,0.0,-3.95,-0.43,-4.44,81.28,79.3,65.53,10.54,196.2,0.0,0.0,340.65,0.0
-4.81,76.75,0.0,0.0,-3.15,0.98,-5.8,78.4,65.53,67.16,34.01,156.76,0.0,0.0,301.82,0.0
-4.58,76.0,0.0,0.0,-2.88,1.74,-5.23,73.75,52.26,60.63,33.53,113.7,0.0,0.0,168.36,0.0
-4.38,78.5,0.0,0.0,-3.16,0.58,-7.51,81.45,53.46,70.12,54.81,35.1,0.0,0.0,141.95,0.0
-4.17,83.75,0.0,0.0,-2.28,0.58,-8.45,80.64,50.4,69.76,95.8,0.0,0.0,0.0,0.0,0.0
-3.98,83.5,0.0,0.0,-2.05,0.52,-6.51,81.55,47.22,56.48,129.06,0.0,0.0,67.85,0.0,0.0
-3.78,80.12,10.69,0.0,-0.49,0.38,-8.38,79.65,44.47,67.79,195.35,0.0,11.81,339.17,0.0,0.0
-3.33,79.62,33.5,0.0,0.78,-0.74,-7.93,66.51,48.44,70.74,154.54,0.0,48.14,297.53,0.0,0.0
-2.98,74.38,33.25,0.0,1.39,-0.9,-7.53,53.63,47.55,69.31,111.0,0.0,78.25,164.37,0.0,0.0
-2.9,79.75,56.0,0.0,0.78,-1.97,-7.89,52.73,51.22,73.94,35.61,0.0,90.9,144.0,0.0,0.0
-2.46,81.88,94.38,0.0,0.53,-1.71,-8.66,50.58,49.47,85.9,0.0,0.0,100.41,0.0,0.0,0.0
-1.82,80.0,131.62,69.19,0.3,-2.45,-7.78,47.99,56.69,81.9,0.0,0.0,130.12,0.0,0.0,96.13
-0.54,80.0,194.5,337.69,0.04,-4.11,-6.46,45.61,64.07,74.85,0.0,0.0,179.81,0.0,0.0,515.65
0.6,67.5,152.31,293.25,-0.66,-5.41,-6.62,48.16,65.39,68.13,0.0,0.0,123.61,0.0,0.0,531.52
1.09,55.0,108.31,160.38,-0.93,-5.6,-6.18,47.65,62.31,60.56,0.0,0.0,77.58,0.0,0.0,478.59
0.95,52.0,36.12,146.06,-1.64,-7.06,-6.68,50.05,68.0,63.88,0.0,0.0,34.81,0.0,0.0,278.66
0.49,50.75,0.0,0.0,-1.7,-7.81,-8.7,49.43,66.82,73.3,0.0,0.0,0.0,0.0,0.0,0.0
0.11,48.75,0.0,0.0,-2.5,-7.13,-9.48,56.91,59.24,76.68,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,46.75,0.0,0.0,-3.95,-8.16,-9.61,63.35,66.77,77.39,0.0,12.0,0.0,0.0,0.0,0.0
-0.59,47.88,0.0,0.0,-5.22,-7.9,-9.43,64.51,70.62,76.8,0.0,48.23,0.0,0.0,0.0,0.0
-0.95,47.75,0.0,0.0,-5.78,-7.67,-9.64,63.16,70.03,74.86,0.0,77.47,0.0,0.0,0.0,0.0
-1.35,48.88,0.0,0.0,-6.83,-7.81,-10.45,66.94,73.53,77.41,0.0,91.42,0.0,0.0,0.0,0.0
-1.69,49.38,0.0,0.0,-7.49,-8.26,-11.36,65.35,83.57,79.84,0.0,103.45,0.0,0.0,0.0,0.0
-2.55,57.12,0.0,0.0,-7.44,-7.83,-12.6,60.62,82.2,84.39,0.0,129.66,0.0,0.0,95.78,0.0
-3.81,62.62,0.0,0.0,-8.05,-7.0,-11.68,66.26,77.92,79.56,12.1,173.47,0.0,0.0,497.45,0.0
-5.05,63.62,0.0,0.0,-7.89,-6.91,-13.06,70.56,69.57,86.44,48.27,121.21,0.0,0.0,521.2,0.0
-5.94,64.0,0.0,0.0,-7.74,-6.66,-12.55,70.39,62.78,87.34,77.08,75.1,0.0,0.0,463.3,0.0
-6.64,65.88,0.0,0.0,-7.77,-7.0,-11.7,73.33,65.38,84.35,91.68,34.06,0.0,0.0,272.68,0.0
-7.21,63.88,0.0,0.0,-8.06,-8.16,-12.55,82.41,70.65,84.8,104.98,0.0,0.0,0.0,0.0,0.0
-7.71,62.0,0.0,0.0,-7.86,-8.8,-12.93,82.35,73.28,80.97,129.42,0.0,0.0,95.61,0.0,0.0
-7.96,65.75,12.19,0.0,-7.26,-9.18,-13.05,79.46,75.13,82.72,170.29,0.0,37.63,488.35,0.0,166.38
-7.88,70.5,48.31,0.0,-7.05,-9.41,-10.98,70.28,76.65,75.01,120.01,0.0,94.09,516.04,0.0,411.17
-7.8,70.75,76.69,0.0,-6.9,-9.81,-9.99,63.89,75.81,68.42,73.86,0.0,145.94,455.65,0.0,374.13
-7.74,73.12,91.94,0.0,-7.16,-10.55,-8.23,66.13,77.95,58.9,33.68,0.0,176.8,269.68,0.0,307.08
-7.89,81.25,106.5,0.0,-7.88,-11.32,-8.96,69.32,79.61,61.14,0.0,0.0,90.38,0.0,0.0,42.47
-7.88,82.5,129.19,95.44,-8.46,-12.06,-7.77,71.58,81.39,57.02,0.0,0.0,244.55,0.0,0.0,118.79
-7.49,81.0,167.12,479.25,-8.97,-11.7,-7.54,74.01,79.72,57.81,0.0,0.0,211.1,0.0,0.0,130.38
-7.17,71.0,118.81,510.88,-9.39,-12.48,-7.0,76.58,83.09,56.91,0.0,0.0,96.12,0.0,0.0,10.81
-7.1,65.0,72.62,448.0,-9.9,-12.33,-9.66,76.28,85.98,71.82,0.0,0.0,20.56,0.0,0.0,0.0
-7.29,66.88,33.31,266.69,-10.6,-11.99,-8.06,78.23,86.17,64.16,0.0,0.0,7.12,0.0,0.0,0.0
-7.65,68.0,0.0,0.0,-11.3,-12.45,-11.12,79.49,84.21,80.52,0.0,0.0,0.0,0.0,0.0,0.0
-8.17,69.88,0.0,0.0,-11.79,-12.66,-9.55,79.88,79.42,74.81,0.0,0.0,0.0,0.0,0.0,0.0
-8.78,72.88,0.0,0.0,-11.72,-12.55,-9.49,79.8,79.99,80.13,0.0,39.07,0.0,0.0,172.72,0.0
-9.38,76.5,0.0,0.0,-12.18,-10.97,-9.29,81.42,74.94,79.05,0.0,94.17,0.0,0.0,411.53,0.0
-9.97,76.75,0.0,0.0,-12.22,-9.81,-8.64,85.3,67.59,74.79,0.0,147.81,0.0,0.0,378.94,0.0
-10.64,78.5,0.0,0.0,-12.14,-8.34,-7.29,87.09,59.39,72.23,0.0,175.37,0.0,0.0,304.6,0.0
-11.28,79.38,0.0,0.0,-12.4,-8.66,-8.67,83.92,59.88,87.36,0.0,92.41,0.0,0.0,43.43,0.0
-11.56,78.38,0.0,0.0,-12.52,-8.0,-7.2,78.65,58.01,81.0,0.0,240.58,0.0,0.0,116.86,0.0
-11.73,79.88,0.0,0.0,-12.3,-7.68,-7.41,78.62,58.41,83.35,39.78,209.02,0.0,175.89,129.09,0.0
-11.93,79.75,0.0,0.0,-10.97,-7.52,-7.89,74.91,59.2,84.26,94.21,92.78,0.0,411.7,10.44,0.0
-12.12,84.62,0.0,0.0,-9.73,-9.13,-7.0,67.17,69.28,79.03,148.75,21.41,0.0,381.34,0.0,0.0
-12.26,88.0,0.0,0.0,-8.4,-8.72,-6.94,59.63,67.52,78.78,174.65,6.81,0.0,303.36,0.0,0.0
-12.36,83.62,0.0,0.0,-8.51,-10.49,-7.91,59.25,77.2,87.39,93.43,0.0,0.0,43.9,0.0,0.0
-12.4,77.88,0.0,0.0,-8.12,-9.73,-6.56,58.51,75.84,81.54,238.6,0.0,0.65,115.9,0.0,0.0
