Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
14.86,38.88,0.0,0.0,7.97,1.85,9.96,58.5,86.57,42.79,0.0,0.0,0.0,0.0,0.0,0.0
13.61,42.5,0.0,0.0,7.06,2.05,8.64,62.01,84.71,48.62,0.0,5.28,0.0,0.0,28.82,0.0
12.51,45.25,0.0,0.0,5.78,2.69,7.35,67.35,84.29,52.98,0.0,46.66,0.0,0.0,260.27,0.0
11.41,47.88,0.0,0.0,4.58,5.18,7.54,71.07,72.98,49.95,0.0,87.23,0.0,0.0,517.87,0.0
10.31,50.25,0.0,0.0,3.33,6.87,6.85,75.01,65.88,49.02,0.0,105.2,0.0,0.0,632.43,0.0
9.21,53.5,0.0,0.0,2.9,9.27,3.05,77.24,53.06,62.8,0.0,135.1,0.0,0.0,654.82,0.0
8.05,58.12,0.0,0.0,2.17,10.62,2.96,84.66,46.73,64.01,0.0,141.66,0.0,0.0,653.4,0.0
6.85,63.12,0.0,0.0,2.19,12.29,2.28,83.91,39.39,64.51,5.33,140.69,0.0,29.1,669.9,0.0
5.65,68.12,0.0,0.0,2.88,13.12,0.45,83.15,33.7,69.91,47.33,125.61,0.0,264.01,676.29,0.0
4.45,71.88,0.0,0.0,4.98,14.39,-0.56,74.05,29.51,73.46,86.02,125.13,0.0,510.68,599.86,0.0
3.56,73.62,0.0,0.0,7.0,13.67,-2.2,65.31,30.87,81.0,106.13,85.41,0.0,638.02,437.93,0.0
2.92,77.12,0.0,0.0,9.29,12.49,-2.36,52.97,34.57,83.09,135.33,38.47,0.0,655.94,239.66,0.0
2.45,82.75,0.0,0.0,10.91,10.43,-1.59,45.81,41.46,78.04,144.7,0.0,0.0,667.45,0.0,0.0
2.3,83.12,5.38,29.38,12.43,9.08,-4.45,39.01,47.19,93.93,142.13,0.0,4.07,676.73,0.0,0.0
3.05,82.0,48.0,267.75,13.29,7.79,-2.36,33.29,51.43,80.08,127.21,0.0,46.38,684.89,0.0,0.0
4.81,75.12,84.81,503.5,14.05,7.24,-3.56,30.25,51.1,88.92,122.25,0.0,77.5,586.08,0.0,0.0
7.1,64.75,107.06,643.62,13.5,6.25,-1.73,31.25,51.32,77.7,84.43,0.0,91.26,432.87,0.0,0.58
9.31,52.88,135.56,657.06,12.38,3.74,-0.94,34.85,59.96,75.36,38.17,0.0,198.27,237.83,0.0,9.39
11.16,44.88,147.75,681.5,10.66,3.03,-1.75,40.79,63.69,85.58,0.0,0.0,228.42,0.0,0.0,25.87
12.55,38.62,143.56,683.56,9.3,2.06,-1.76,46.47,65.56,86.55,0.0,0.0,177.15,0.0,0.0,6.49
13.44,32.88,128.81,693.5,8.0,0.55,-1.24,50.66,69.39,85.37,0.0,0.0,190.51,0.0,0.0,21.14
13.76,31.0,119.38,572.31,7.08,-0.58,0.67,51.67,73.6,78.02,0.0,0.0,205.54,0.0,0.0,87.25
13.36,31.62,83.44,427.81,5.95,-1.86,-0.05,52.47,79.13,86.9,0.0,0.0,122.01,0.0,0.0,92.69
12.29,35.12,37.88,236.0,4.09,-2.3,-1.2,58.54,82.74,93.97,0.0,0.0,38.66,0.0,0.0,6.81
10.86,40.12,0.0,0.0,3.06,-2.26,-2.57,63.54,82.14,100.0,0.0,0.0,0.0,0.0,0.0,0.0
9.49,45.75,0.0,0.0,1.95,-3.78,-2.79,66.09,89.84,100.0,0.0,4.29,0.0,0.0,0.0,0.0
8.19,49.88,0.0,0.0,0.61,-2.67,-1.25,69.14,81.92,93.37,0.0,45.41,0.0,0.0,0.0,0.0
6.95,52.25,0.0,0.0,-0.6,-3.01,-1.47,73.68,85.65,95.27,0.0,80.85,0.0,0.0,0.0,0.0
5.69,53.62,0.0,0.0,-1.69,-1.99,-2.33,78.19,79.22,100.0,0.0,89.6,0.0,0.0,0.57,0.0
4.39,57.12,0.0,0.0,-2.27,-1.4,-1.28,82.56,77.99,92.58,0.0,192.2,0.0,0.0,9.1,0.0
3.09,63.38,0.0,0.0,-2.59,-1.42,-1.28,84.2,83.6,88.65,0.0,234.24,0.0,0.0,26.53,0.0
1.85,66.62,0.0,0.0,-3.45,-1.2,-2.32,87.8,83.34,99.24,4.39,184.88,0.0,0.0,6.78,0.0
0.65,68.88,0.0,0.0,-2.82,-0.91,-2.06,82.83,83.43,99.39,44.93,195.25,0.0,0.0,21.66,0.0
-0.61,73.75,0.0,0.0,-2.73,0.01,-0.58,84.02,82.07,90.21,82.52,196.71,0.0,0.0,83.5,0.0
-1.54,77.25,0.0,0.0,-2.13,-0.24,-0.64,79.99,88.07,91.07,88.77,120.45,0.0,0.57,91.5,0.0
-2.24,82.38,0.0,0.0,-1.62,-0.9,0.76,79.3,91.98,80.65,189.16,39.55,0.0,8.95,6.96,0.0
-2.88,86.25,0.0,0.0,-1.25,-1.88,-0.11,82.61,95.76,89.96,237.15,0.0,0.0,26.86,0.0,0.0
-3.16,85.75,4.5,0.0,-0.92,-2.15,1.75,81.73,97.49,83.76,188.75,0.0,1.08,6.92,0.0,0.0
-2.95,83.75,44.44,0.0,-0.74,-1.43,1.35,82.47,94.62,87.98,197.63,0.0,11.64,21.93,0.0,0.0
-2.49,82.38,84.19,0.0,-0.32,-1.63,1.5,84.1,96.45,87.75,192.3,0.0,33.15,81.62,0.0,0.0
-2.24,80.75,87.94,0.56,-0.33,-2.11,1.03,88.66,98.92,94.76,119.66,0.0,56.87,90.9,0.0,0.0
-1.82,80.62,186.12,8.81,-0.74,-1.6,3.69,90.99,94.79,82.52,39.99,0.0,87.36,7.04,0.0,0.0
-1.1,81.62,240.06,27.19,-1.54,-1.92,4.38,93.5,93.13,76.66,0.0,0.0,97.78,0.0,0.0,0.0
-0.68,80.12,192.62,7.06,-1.83,-2.23,3.97,95.37,98.62,78.87,0.0,0.0,117.83,0.0,0.0,72.16
-0.6,81.5,200.0,22.19,-1.52,-2.0,6.03,95.25,99.01,76.95,0.0,0.0,232.3,0.0,0.0,376.21
-0.6,86.12,187.88,79.75,-1.72,-0.95,6.42,97.03,92.73,71.32,0.0,0.0,152.91,0.0,0.0,372.58
-0.41,89.25,118.88,90.31,-1.99,-0.49,7.73,98.15,90.16,60.04,0.0,0.0,101.83,0.0,0.0,320.99
-0.61,90.0,40.44,7.12,-1.76,0.45,8.58,95.89,82.58,55.99,0.0,0.0,43.85,0.0,0.0,209.4
-1.24,91.25,0.0,0.0,-2.24,0.2,7.16,95.38,88.04,59.7,0.0,0.0,0.0,0.0,0.0,0.0
-1.56,93.25,0.0,0.0,-2.19,1.18,5.66,98.31,87.44,63.72,0.0,1.04,0.0,0.0,0.0,0.0
-1.6,95.88,0.0,0.0,-1.97,1.11,7.09,98.81,89.55,58.09,0.0,11.44,0.0,0.0,0.0,0.0
-1.79,97.62,0.0,0.0,-1.13,1.37,4.77,93.99,88.56,66.0,0.0,32.86,0.0,0.0,0.0,0.0
-1.9,97.38,0.0,0.0,-0.42,1.48,5.49,89.71,91.88,60.32,0.0,58.84,0.0,0.0,0.0,0.0
-1.9,97.0,0.0,0.0,0.29,3.05,4.43,83.54,86.7,64.96,0.0,83.68,0.0,0.0,0.0,0.0
-2.52,97.62,0.0,0.0,0.36,3.69,5.94,87.08,80.89,57.85,0.0,93.36,0.0,0.0,0.0,0.0
-2.15,98.0,0.0,0.0,0.9,3.78,5.16,89.28,79.93,60.14,1.02,116.32,0.0,0.0,71.24,0.0
-1.95,98.62,0.0,0.0,0.99,5.68,3.45,90.34,78.98,66.71,11.35,226.78,0.0,0.0,367.26,0.0
-1.29,95.25,0.0,0.0,1.3,6.85,1.17,88.97,69.28,80.02,32.71,157.83,0.0,0.0,384.57,0.0
-0.36,89.25,0.0,0.0,1.71,7.93,1.53,90.44,59.21,79.44,59.83,103.32,0.0,0.0,325.69,0.0
0.15,84.5,0.0,0.0,2.73,8.34,1.93,88.79,56.99,76.65,81.84,43.12,0.0,0.0,205.89,0.0
0.49,86.12,0.0,0.0,3.34,7.37,-1.02,83.01,58.85,91.1,91.15,0.0,0.0,0.0,0.0,0.0
0.66,91.12,1.0,0.0,3.69,6.35,1.13,80.47,60.86,75.97,115.57,0.0,0.95,70.77,0.0,0.0
0.89,91.12,11.25,0.0,5.51,6.81,0.45,79.99,59.29,79.4,224.01,0.0,9.26,362.79,0.0,0.0
1.25,89.38,32.56,0.0,7.06,5.45,-0.22,68.27,63.06,84.98,160.29,0.0,23.8,390.56,0.0,0.0
1.9,89.0,60.81,0.0,8.02,5.57,0.59,58.79,59.97,80.72,104.07,0.0,46.64,328.03,0.0,0.0
2.45,90.88,80.0,0.0,8.21,4.86,1.19,57.5,63.11,77.58,42.75,0.0,83.32,204.14,0.0,7.42
3.04,85.12,88.94,0.0,7.47,5.35,0.15,58.42,60.55,89.63,0.0,0.0,202.63,0.0,0.0,28.15
3.61,81.0,114.81,70.31,6.69,4.55,3.34,59.43,63.01,76.67,0.0,0.0,216.64,0.0,0.0,154.95
5.36,81.0,221.25,358.31,6.67,3.17,3.23,59.9,68.11,85.45,0.0,0.0,154.17,0.0,0.0,653.1
7.24,67.25,162.75,396.56,5.8,1.54,4.68,61.59,78.01,70.74,0.0,0.0,96.93,0.0,0.0,711.99
8.11,58.38,104.81,330.38,5.61,1.35,6.93,59.79,80.47,51.65,0.0,0.0,103.72,0.0,0.0,530.13
8.11,58.0,42.38,202.38,5.07,1.25,4.56,62.18,80.76,58.38,0.0,0.0,45.03,0.0,0.0,279.29
7.56,58.0,0.0,0.0,5.05,-0.38,4.82,61.9,87.3,56.37,0.0,0.0,0.0,0.0,0.0,0.0
6.99,58.0,0.0,0.0,4.24,0.56,3.2,64.45,79.3,62.29,0.0,0.92,0.0,0.0,0.0,0.0
6.55,60.5,0.0,0.0,3.03,0.25,2.85,68.8,80.58,64.44,0.0,9.13,0.0,0.0,0.0,0.0
6.09,60.12,0.0,0.0,1.72,0.01,2.7,77.01,83.62,65.55,0.0,24.21,0.0,0.0,0.0,0.0
5.65,59.62,0.0,0.0,1.27,0.5,2.13,80.99,81.24,70.25,0.0,46.35,0.0,0.0,0.0,0.0
5.25,61.25,0.0,0.0,0.91,0.89,1.5,82.82,79.29,74.65,0.0,81.63,0.0,0.0,7.27,0.0
4.79,63.25,0.0,0.0,-0.06,0.66,0.67,85.4,86.57,78.07,0.0,210.66,0.0,0.0,29.26,0.0
3.98,65.88,0.0,0.0,0.28,2.66,0.06,80.96,80.84,81.09,0.9,206.98,0.0,0.0,148.03,0.0
2.91,69.5,0.0,0.0,0.15,3.48,0.91,81.16,83.97,75.28,9.06,157.02,0.0,0.0,665.2,0.0
1.88,76.0,0.0,0.0,0.13,4.98,-1.04,82.93,69.31,81.64,24.42,99.06,0.0,0.0,727.65,0.0
1.19,81.5,0.0,0.0,0.46,6.36,1.3,81.49,53.95,64.09,46.2,99.8,0.0,0.0,510.1,0.0
0.62,84.88,0.0,0.0,0.75,5.12,1.11,80.14,56.19,62.49,80.78,47.01,0.0,7.2,291.61,0.0
0.21,83.5,0.0,0.0,0.92,4.88,-0.83,85.03,56.13,79.16,214.68,0.0,0.0,29.82,0.0,0.0
0.04,82.62,0.88,0.0,2.31,3.76,0.7,82.92,59.95,77.06,202.14,0.0,5.92,144.58,0.0,0.0
0.06,81.75,9.0,0.0,3.6,3.31,0.64,83.24,62.47,82.63,158.45,0.0,60.52,671.26,0.0,13.68
0.23,82.25,24.62,0.0,5.12,2.95,0.99,68.59,64.4,73.83,100.12,0.0,137.3,735.48,0.0,59.37
0.42,81.75,46.06,0.0,6.08,2.39,3.84,55.1,69.0,50.56,97.84,0.0,220.09,500.08,0.0,49.49
0.62,81.0,79.94,7.12,5.41,1.77,4.53,55.09,73.27,47.98,48.01,0.0,256.14,297.78,0.0,46.99
1.14,83.5,218.69,30.38,4.91,1.1,5.36,56.0,75.85,48.06,0.0,0.0,267.91,0.0,0.0,138.37
2.02,85.0,197.31,141.12,4.05,0.54,7.45,58.79,78.49,43.23,0.0,0.0,266.69,0.0,0.0,279.4
3.71,82.5,159.88,677.31,3.53,0.76,8.19,61.49,76.14,41.91,0.0,0.0,201.32,0.0,0.0,421.91
5.25,67.88,101.19,743.31,3.08,-0.37,11.47,63.82,78.07,32.61,0.0,0.0,125.84,0.0,0.0,774.67
5.83,56.25,95.88,490.06,2.52,0.61,11.6,68.37,67.61,32.31,0.0,0.0,65.9,0.0,0.0,706.96
5.65,54.0,49.0,303.94,1.9,0.42,9.63,72.57,65.93,38.0,0.0,0.0,35.15,0.0,0.0,363.4
4.94,55.88,0.0,0.0,1.31,-0.59,9.33,74.73,77.83,37.16,0.0,0.0,0.0,0.0,0.0,0.0
4.29,57.62,0.0,0.0,0.78,0.16,7.94,77.18,80.28,41.51,0.0,5.71,0.0,0.0,0.0,0.0
3.73,60.5,0.0,0.0,0.68,0.44,6.56,76.57,83.81,47.6,0.0,59.7,0.0,0.0,13.5,0.0
3.19,63.25,0.0,0.0,-0.04,1.37,6.13,76.29,71.92,48.48,0.0,141.27,0.0,0.0,61.09,0.0
2.63,67.75,0.0,0.0,0.27,3.61,5.31,69.36,51.4,48.63,0.0,216.64,0.0,0.0,48.72,0.0
2.02,71.88,0.0,0.0,0.07,4.67,1.8,67.66,47.49,62.92,0.0,258.88,0.0,0.0,47.5,0.0
1.49,73.62,0.0,0.0,-0.46,5.82,1.19,77.17,46.59,66.31,0.0,277.24,0.0,0.0,143.19,0.0
0.99,75.88,0.0,0.0,-0.11,7.63,0.24,81.89,42.67,67.07,5.61,270.28,0.0,0.0,283.17,0.0
0.61,77.0,0.0,0.0,0.34,8.69,-1.05,84.41,40.51,73.41,59.29,209.03,0.0,13.4,438.08,0.0
0.25,74.5,0.0,0.0,1.57,10.79,-1.74,70.96,34.36,76.9,143.26,120.27,0.0,61.95,740.33,0.0
-0.03,71.12,0.0,0.0,3.5,11.06,-3.75,51.83,33.65,85.33,214.92,63.54,0.0,48.33,681.7,0.0
-0.23,69.38,0.0,0.0,4.75,9.84,-4.38,47.25,37.44,82.35,260.25,35.7,0.0,47.75,369.08,0.0
-0.36,76.5,0.0,0.0,6.04,9.07,-4.11,45.85,37.89,77.23,281.9,0.0,0.0,145.59,0.0,0.0
-0.34,83.5,5.5,0.0,7.72,7.74,-5.33,42.4,42.13,82.71,272.08,0.0,6.53,285.06,0.0,29.4
0.26,85.0,58.88,13.31,8.94,6.48,-4.53,39.82,47.86,77.92,212.89,0.0,60.45,446.17,0.0,247.42
1.73,70.0,145.25,62.81,10.45,5.68,-3.38,35.24,50.18,74.75,117.48,0.0,114.29,723.17,0.0,370.73
3.4,52.25,213.19,47.94,10.79,4.65,-1.49,34.33,51.13,70.48,62.37,0.0,160.87,669.07,0.0,433.35
4.81,47.0,261.62,48.0,9.95,2.34,1.51,37.16,60.65,57.88,35.98,0.0,219.1,371.91,0.0,477.0
6.24,45.12,286.56,148.0,8.93,1.43,2.34,38.25,65.22,53.14,0.0,0.0,224.85,0.0,0.0,453.7
7.8,42.12,273.88,286.94,7.64,0.29,2.98,42.44,66.85,49.73,0.0,0.0,220.0,0.0,0.0,413.49
9.15,39.12,216.75,454.25,6.44,-1.1,5.89,47.99,73.64,39.61,0.0,0.0,230.54,0.0,0.0,476.75
10.16,36.12,114.69,706.0,5.45,-2.21,5.01,51.03,79.64,40.48,0.0,0.0,161.34,0.0,0.0,417.42
10.56,35.0,61.19,656.44,4.33,-3.73,5.65,52.37,85.16,37.49,0.0,0.0,122.21,0.0,0.0,334.25
10.04,36.88,36.25,374.75,2.62,-4.44,2.88,59.52,82.74,45.55,0.0,0.0,47.02,0.0,0.0,162.29
8.82,38.62,0.0,0.0,1.55,-4.66,2.78,64.67,80.56,44.04,0.0,0.0,3.65,0.0,0.0,13.13
7.55,42.75,0.0,0.0,0.31,-5.37,1.37,66.73,82.91,50.41,0.0,6.52,0.0,0.0,29.32,0.0
6.41,48.12,0.0,0.0,-1.12,-4.56,-1.27,73.76,78.08,61.92,0.0,60.32,0.0,0.0,246.9,0.0
5.25,51.88,0.0,0.0,-2.44,-3.13,-2.62,81.01,73.5,68.45,0.0,116.33,0.0,0.0,377.36,0.0
4.05,53.62,0.0,0.0,-3.71,-1.18,-2.83,85.08,68.99,71.75,0.0,164.59,0.0,0.0,443.36,0.0
2.85,58.38,0.0,0.0,-4.47,1.29,-4.92,82.93,58.81,80.21,0.0,215.77,0.0,0.0,469.75,0.0
1.65,64.12,0.0,0.0,-4.94,2.55,-5.12,82.22,52.38,73.39,0.0,228.27,0.0,0.0,460.6,0.0
0.33,66.62,0.0,0.0,-5.39,3.47,-4.34,83.02,48.12,66.86,6.51,228.22,0.0,29.29,428.93,0.0
-1.14,73.88,0.0,0.0,-4.58,5.22,-7.02,78.17,41.68,82.13,60.25,220.58,0.0,246.64,456.16,0.0
-2.64,82.38,0.0,0.0,-3.01,4.9,-6.71,72.87,40.8,75.05,117.36,160.11,0.0,380.68,414.24,0.0
-3.7,85.0,0.0,0.0,-1.02,5.01,-7.69,68.25,39.37,80.87,166.45,117.11,0.0,448.37,320.28,0.0
-4.5,83.12,0.0,0.0,1.18,3.14,-8.14,59.28,44.71,90.17,214.11,47.95,0.0,466.13,165.49,0.0
-5.18,83.88,0.0,0.0,2.65,2.35,-8.18,52.0,45.46,91.06,229.98,3.54,0.0,464.05,12.76,0.0
-5.4,83.12,6.5,29.25,3.71,1.03,-7.96,47.31,51.7,87.92,232.33,0.0,5.62,436.66,0.0,47.12
-4.59,78.25,60.19,246.38,4.89,-0.78,-7.62,42.72,59.9,85.0,215.6,0.0,50.32,445.86,0.0,362.54
-2.91,72.25,118.38,384.0,4.85,-1.98,-4.98,40.96,65.6,71.16,159.49,0.0,99.6,412.65,0.0,533.0
-0.89,67.5,168.31,453.38,4.69,-2.65,-3.22,40.31,70.88,64.48,114.55,0.0,109.79,313.29,0.0,619.44
1.09,59.75,212.44,462.5,3.28,-4.23,-0.62,44.3,76.61,50.79,48.42,0.0,131.33,167.09,0.0,663.69
2.74,51.62,231.69,467.5,2.14,-4.9,2.46,46.17,72.26,39.75,3.49,0.0,162.59,12.57,0.0,705.92
3.92,46.5,236.44,444.38,0.86,-4.99,4.31,52.35,70.3,36.17,0.0,0.0,166.72,0.0,0.0,717.94
4.61,43.75,210.62,435.56,-0.54,-6.7,4.18,58.89,80.31,36.72,0.0,0.0,149.53,0.0,0.0,621.43
4.8,41.12,158.88,411.06,-1.66,-6.93,5.87,64.17,76.28,31.55,0.0,0.0,137.46,0.0,0.0,626.54
4.42,41.25,112.0,306.31,-2.57,-7.7,4.17,70.44,80.93,36.37,0.0,0.0,91.11,0.0,0.0,472.15
3.39,43.88,48.88,168.69,-3.89,-8.14,1.88,74.8,90.21,43.26,0.0,0.0,36.25,0.0,0.0,282.49
1.96,46.88,3.44,12.38,-4.79,-8.31,1.07,71.69,91.9,46.12,0.0,0.0,2.72,0.0,0.0,22.72
0.71,53.0,0.0,0.0,-5.32,-8.27,1.22,72.03,89.96,48.11,0.0,5.5,0.0,0.0,46.12,0.0
-0.33,57.88,0.0,0.0,-6.54,-7.58,-1.56,79.41,84.75,59.57,0.0,50.47,0.0,0.0,363.61,0.0
-1.39,62.75,0.0,0.0,-7.05,-5.17,-0.66,76.89,72.14,55.88,0.0,98.3,0.0,0.0,526.03,0.0
-2.49,70.0,0.0,0.0,-7.71,-2.96,-1.07,80.97,63.3,56.68,0.0,111.95,0.0,0.0,631.66,0.0
-3.59,73.0,0.0,0.0,-8.15,-0.4,-3.64,90.23,50.02,69.68,0.0,133.45,0.0,0.0,674.38,0.0
-4.69,71.12,0.0,0.0,-8.38,2.16,-2.95,92.33,40.62,66.19,0.0,159.3,0.0,0.0,691.62,0.0
-5.6,73.75,0.0,0.0,-8.43,3.84,-4.76,90.98,37.46,75.77,5.44,161.51,0.0,45.62,695.53,0.0
-6.4,78.5,0.0,0.0,-7.56,4.29,-3.83,84.62,36.42,68.74,50.55,150.8,0.0,364.15,626.68,0.0
-7.14,77.5,0.0,0.0,-5.26,5.3,-5.52,72.63,32.96,76.87,97.65,132.23,0.0,522.54,602.71,0.0
-7.71,81.0,0.0,0.0,-2.82,4.27,-4.95,62.71,36.13,75.08,113.04,91.74,0.0,637.77,475.45,0.0
-8.15,90.25,0.0,0.0,-0.29,2.54,-6.34,49.63,41.38,81.75,134.5,38.15,0.0,679.72,297.34,0.0
-8.43,92.75,0.0,0.0,2.02,1.28,-5.92,41.06,45.44,78.34,157.65,2.77,0.0,684.46,23.08,0.0
-8.56,92.0,5.38,45.12,3.61,0.77,-6.16,38.1,49.74,78.67,158.91,0.0,9.73,684.32,0.0,48.85
-7.54,84.5,50.62,364.69,4.35,-0.93,-4.51,36.27,57.09,68.58,151.43,0.0,61.09,629.31,0.0,285.32
-5.34,73.12,97.0,519.06,5.01,-0.86,-1.17,33.67,56.69,58.24,129.61,0.0,123.44,590.79,0.0,477.97
-2.71,62.12,114.12,643.88,4.32,-1.42,-0.41,36.0,58.15,58.14,92.06,0.0,146.85,477.1,0.0,497.44
-0.2,49.25,135.56,685.06,2.87,-2.98,3.18,40.44,66.71,44.74,39.11,0.0,186.99,304.76,0.0,583.84
1.89,41.5,156.0,677.31,1.39,-3.0,4.35,45.09,66.4,40.61,2.79,0.0,190.93,23.26,0.0,558.34
